Latitude,Longitude,UTM_Easting,UTM_Northing,UTM_Zone_Number,UTM_Zone_Letter
55.916974,9.196229,512264.5888966277,6196856.476090415,32,U
55.916983,9.196228,512264.5235540599,6196857.47757299,32,U
55.916991,9.196228,512264.52102850436,6196858.367937311,32,U
55.917,9.196228,512264.5181872541,6196859.369597177,32,U
55.917008,9.196229,512264.5781629614,6196860.260138789,32,U
55.917017,9.196229,512264.57532169606,6196861.261798655,32,U
55.917026,9.19623,512264.6349816632,6196862.263635812,32,U
55.917034,9.196232,512264.7574585237,6196863.154354722,32,U
55.917043,9.196233,512264.8171184211,6196864.156191884,32,U
55.917051,9.196235,512264.9395951877,6196865.0469108,32,U
55.917069,9.19624,512265.2464183045,6196867.05111703,32,U
55.917086,9.196245,512265.5535568526,6196868.944027743,32,U
55.917095,9.196248,512265.7382187231,6196869.946219535,32,U
55.917103,9.196252,512265.98569734715,6196870.8372931015,32,U
55.917112,9.196256,512266.232860128,6196871.839662228,32,U
55.917121,9.196261,512266.5425238742,6196872.842208685,32,U
55.917129,9.196265,512266.7900021643,6196873.733282302,32,U
55.917138,9.19627,512267.09966564283,6196874.735828801,32,U
55.917147,9.196276,512267.4718300159,6196875.738552655,32,U
55.917156,9.196282,512267.84399421484,6196876.7412765445,32,U
55.917165,9.196287,512268.153657229,6196877.743823124,32,U
55.917173,9.196294,512268.5886378917,6196878.635428877,32,U
55.917181,9.1963,512268.9611173906,6196879.526857321,32,U
55.91719,9.196307,512269.39578188135,6196880.529758701,32,U
55.917198,9.196313,512269.7682610466,6196881.42118722,32,U
55.917206,9.19632,512270.2032410019,6196882.312793141,32,U
55.917214,9.196328,512270.70072170836,6196883.204576484,32,U
55.917223,9.196336,512271.19788633956,6196884.207655429,32,U
55.917231,9.196344,512271.69536662067,6196885.099438889,32,U
55.91724,9.196352,512272.1925307991,6196886.102517951,32,U
55.917249,9.196361,512272.7521956224,6196887.105774481,32,U
55.917257,9.19637,512273.31217610865,6196887.997735539,32,U
55.917266,9.196379,512273.8718404228,6196889.000992217,32,U
55.917274,9.196388,512274.4318204305,6196889.892953424,32,U
55.917282,9.196397,512274.9918002045,6196890.784914704,32,U
55.917291,9.196406,512275.55146376614,6196891.788171603,32,U
55.917299,9.196416,512276.1739438566,6196892.680310489,32,U
55.917307,9.196425,512276.7339229088,6196893.572271999,32,U
55.917315,9.196435,512277.35640249646,6196894.464411057,32,U
55.917323,9.196445,512277.978881828,6196895.356550206,32,U
55.917332,9.196455,512278.6010448392,6196896.359984994,32,U
55.91734,9.196465,512279.22352363897,6196897.252124324,32,U
55.917348,9.196475,512279.84600217943,6196898.144263747,32,U
55.917356,9.196486,512280.5309811668,6196899.03658078,32,U
55.917364,9.196496,512281.15345917875,6196899.928720393,32,U
55.917372,9.196507,512281.8384376103,6196900.821037636,32,U
55.91738,9.196519,512282.5859164227,6196901.713532538,32,U
55.917388,9.19653,512283.27089427586,6196902.605850012,32,U
55.917404,9.196555,512284.8283510056,6196904.39101803,32,U
55.917412,9.196568,512285.63832919364,6196905.283691047,32,U
55.917419,9.196581,512286.44862331054,6196906.065068673,32,U
55.917427,9.196594,512287.2586008493,6196906.957741997,32,U
55.917435,9.196608,512288.1310786288,6196907.850593105,32,U
55.917442,9.196622,512289.0038723759,6196908.632148842,32,U
55.917449,9.196636,512289.8766658087,6196909.4137047585,32,U
55.917456,9.19665,512290.7494589258,6196910.195260852,32,U
55.917463,9.196665,512291.68475225783,6196910.976994803,32,U
55.917469,9.19668,512292.6203616734,6196911.647433409,32,U
55.917476,9.196695,512293.5556543529,6196912.429167768,32,U
55.917482,9.196711,512294.5537636659,6196913.099784503,32,U
55.917488,9.196727,512295.551872668,6196913.770401469,32,U
55.9175,9.196759,512297.54808974545,6196915.1116361,32,U
55.917505,9.196775,512298.54651439737,6196915.670958214,32,U
55.91751,9.19679,512299.48243833485,6196916.230102764,32,U
55.917515,9.196807,512300.543362926,6196916.789603135,32,U
55.917521,9.196824,512301.6039705862,6196917.460399315,32,U
55.917526,9.196842,512302.7273950295,6196918.020078048,32,U
